artifact_id	logical_path	bytes	sha256	git_status	purpose
V7_FINAL_ANNOTATION_CHECKPOINT	${V7_RUN_ROOT}/checkpoints/final_annotation_v7.pkl.gz	222493237	e4fda365b2bfa9ea6f82b9b48c4ce6009a0bf31dcfb5a57e7e94cab6d8d3981e	external	4676787_by_128_cell_annotation
V7_OBS_ONLY_H5AD	${V7_RUN_ROOT}/objects/final_annotation_v7_obs_only.h5ad	502199472	e5b68d7e5f127bcdcdadc3aaa94a9bce027ec032e6b82e68e5847ea5ccf7b38e	external	obs_only_downstream_entry
V7_CELL_INDEX	${V7_RUN_ROOT}/cell_index	NA	3f802eb8cc52f04beb27fa2987d2ffe3ddf75f4b4f51dec8e6448b26df8d1f16	logical_hash	cell_order_and_identity
RAW_COUNTS_ZARR	${PROJECT_V3_ROOT}/runs/20260818_pancancer_5M_merge_prep/02_merge_new_cohort/objects/5M_merge_concat.zarr	NA	NA	external	integer_counts_source
